"","Betweenness","Closeness","Strength","ExpectedInfluence"
"Q7",16,0.00156807993222089,0.691450833337931,0.691450833337931
"Q8",74,0.00184031935511834,0.867313303406518,0.569711414076414
"Q9",14,0.0016619364028123,0.829732966654449,0.771473829967019
"Q10",44,0.00180974674093985,0.960591098965841,0.960591098965841
"Q11",1,0.00154643122962835,0.873203783814362,0.873203783814362
"Q12",5,0.00146680659839047,0.896768505164651,0.896768505164651
"Q13",42,0.00170172547400428,0.813795656162659,0.797203253842155
"Q14",30,0.00164125420760131,0.870386879550214,0.737112186801651
"Q15",11,0.00151631550852078,0.879515629047134,0.872158757507226
"Q16",20,0.00168370927452533,0.813689301669575,0.640104725066505
"Q17",3,0.00149997649509211,0.467019524098352,0.356226833871971
"Q18",0,0.00135018895444719,0.61302183764566,0.294061334234094
"Q19",7,0.00144700381206762,0.764151727743241,0.491062106955705
"Q20",43,0.00171020885348727,0.904880021158848,0.726800914591016
"Q21",34,0.00164271092249719,0.613221774650882,0.284135964405995
"Q22",3,0.00140941998999639,0.383589229337203,0.277599068882856
"Q23",31,0.00164915349196722,0.946029768679193,0.555234146744232
"Q24",44,0.00163978281960325,1.0575670783267,0.528847053688176
"Q25",21,0.00159365685600166,1.05437686497029,0.798372069420924
"Q26",14,0.00151973995969556,0.72806721174265,0.267783959094593
"Q27",6,0.00138130701846193,0.456077807035756,0.191094962421433
"Q28",22,0.00153112730927824,0.744543595689856,0.744543595689856
"Q29",0,0.00145304139886907,0.39791955121874,0.39791955121874
"Q30",55,0.00181955978606156,0.853117978903195,0.71626217731534
"Q31",52,0.0018068078608443,0.893239951932479,0.356959714362778
"Q32",25,0.00151644233183165,0.679501867817766,0.203092700545973
"Q33",0,0.00146627259261312,0.659891182378491,0.611729626772233
"Q34",0,0.00124011057373503,0.18719033644432,0.18719033644432
"Q35",41,0.00152253503734608,0.73948217571976,0.591767178347619
"Q36",34,0.00161359438800099,0.84508641468206,0.552476958031545
