P_ID,Permanent_Residence,Current_Residence,Year,Gender,Department,"Q27 = Most of the time, I have meals without company.",Q28 = I feel lonely on weekends when I'm not busy with classes.,Q29 = I don't feel happy when I keep everything to myself.,Q30 =  I feel as if nobody understands me.,"Q31 = I feel like an outsider in my engineering department, even whensurrounded by peers.",loneliness,loneliness_level,high_loneliness,low_loneliness,moderate_loneliness
1,Arghakhanchi ,Hostel,Fourth,Male,IT,2,2,4,5,5,3.6,low_loneliness,0,1,0
2,Morang,Hostel,First,Male,IT,4,4,5,2,4,3.8,low_loneliness,0,1,0
3,Bajura,Rented room,Second,Male,IT,2,3,4,1,2,2.4,high_loneliness,1,0,0
4,Sindhupalchok,Living with family at home,First,Male,IT,2,2,3,2,4,2.6,moderate_loneliness,0,0,1
5,Dadlendura,Rented room,Fourth,Male,Computer,2,4,4,3,2,3.0,moderate_loneliness,0,0,1
6,Panchthar,Rented flat or apartment,Third,Male,Computer,5,5,2,4,5,4.2,low_loneliness,0,1,0
7,Lalitpur,Living with family at home,Third,Female,Computer,4,4,4,2,2,3.2,moderate_loneliness,0,0,1
8,Kathmandu,Living with family at home,Third,Male,Computer,3,3,3,3,3,3.0,moderate_loneliness,0,0,1
9,Sindhupalchok,Living with family at home,First,Male,IT,4,5,5,4,4,4.4,low_loneliness,0,1,0
10,Siraha,Hostel,First,Female,IT,2,2,4,4,4,3.2,moderate_loneliness,0,0,1
11,Morang,Hostel,First,Female,IT,2,2,2,2,3,2.2,high_loneliness,1,0,0
12,Lalitpur,Living with family at home,Fourth,Female,Computer,5,5,5,5,3,4.6,low_loneliness,0,1,0
13,Lalitpur,Living with family at home,Fourth,Male,Computer,1,5,2,3,4,3.0,moderate_loneliness,0,0,1
14,Ilam,Rented flat or apartment,Fourth,Male,Computer,4,5,5,2,5,4.2,low_loneliness,0,1,0
15,Gorkha,Rented flat or apartment,Fourth,Female,Computer,5,2,1,3,1,2.4,high_loneliness,1,0,0
16,Accham,Living with family at home,Fourth,Female,IT,5,5,2,5,4,4.2,low_loneliness,0,1,0
17,Parsa,Living with family at home,Fourth,Male,IT,3,4,4,4,4,3.8,low_loneliness,0,1,0
18,Salyan,Living with family at home,Fourth,Male,Computer,3,5,4,5,5,4.4,low_loneliness,0,1,0
19,Jhapa,Hostel,First,Male,IT,4,4,4,5,5,4.4,low_loneliness,0,1,0
20,Jhapa,Hostel,Second,Male,IT,4,4,4,2,4,3.6,low_loneliness,0,1,0
21,Salyan,Rented room,First,Female,IT,1,2,3,4,5,3.0,moderate_loneliness,0,0,1
22,Palpa,Hostel,First,Male,IT,3,5,2,5,5,4.0,low_loneliness,0,1,0
23,Lalitpur,Living with family at home,First,Male,Computer,4,3,1,1,2,2.2,high_loneliness,1,0,0
24,Kathmandu,Rented flat or apartment,Fourth,Male,Computer,3,5,5,3,2,3.6,low_loneliness,0,1,0
25,Kathmandu,Living with family at home,Fourth,Female,Computer,3,4,4,2,2,3.0,moderate_loneliness,0,0,1
26,Arghakhanchi ,Rented room,First,Female,IT,4,4,4,2,5,3.8,low_loneliness,0,1,0
27,Kathmandu,Living with family at home,First,Female,IT,4,4,4,2,5,3.8,low_loneliness,0,1,0
28,Baitadi,Rented room,First,Male,IT,5,5,3,4,3,4.0,low_loneliness,0,1,0
29,Rupandehi,Living with family at home,First,Male,IT,1,1,1,5,2,2.0,high_loneliness,1,0,0
30,Lalitpur,Living with family at home,Second,Female,IT,5,5,3,2,2,3.4,moderate_loneliness,0,0,1
31,Kathmandu,Living with family at home,Fourth,Male,Computer,3,4,4,4,4,3.8,low_loneliness,0,1,0
32,Rupandehi,Rented flat or apartment,Fourth,Male,Computer,3,5,2,5,5,4.0,low_loneliness,0,1,0
33,Rautahat,Living with family at home,Fourth,Female,Computer,2,4,4,1,4,3.0,moderate_loneliness,0,0,1
34,Kathmandu,Living with family at home,Fourth,Female,Computer,4,5,3,4,4,4.0,low_loneliness,0,1,0
35,Jhapa,Living with family at home,Fourth,Male,Computer,4,4,3,4,5,4.0,low_loneliness,0,1,0
36,Sunsari,Hostel,Fourth,Male,Computer,1,5,5,3,1,3.0,moderate_loneliness,0,0,1
